Obs:  0 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 107 (Images  ): Kernel Linear->Browsing   | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 108 (Images  ): Kernel Linear->Browsing   | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 109 (Images  ): Kernel Linear->Browsing   | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 110 (Images  ): Kernel Linear->Browsing   | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 111 (Images  ): Kernel Linear->Browsing   | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 112 (Images  ): Kernel Linear->Browsing   | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 113 (Images  ): Kernel Linear->Images     | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 114 (Images  ): Kernel Linear->Images     | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 115 (Images  ): Kernel Linear->Images     | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 116 (Images  ): Kernel Linear->Images     | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 117 (Images  ): Kernel Linear->Images     | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 118 (Images  ): Kernel Linear->Images     | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 119 (Images  ): Kernel Linear->Images     | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 120 (Images  ): Kernel Linear->Images     | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 121 (Images  ): Kernel Linear->Images     | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 122 (Images  ): Kernel Linear->Images     | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 123 (Images  ): Kernel Linear->Images     | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 124 (Images  ): Kernel Linear->Images     | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 125 (Images  ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 126 (Images  ): Kernel Linear->Images     | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 127 (Images  ): Kernel Linear->Images     | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 128 (Images  ): Kernel Linear->Images     | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 129 (Images  ): Kernel Linear->Images     | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 130 (Images  ): Kernel Linear->Browsing   | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 131 (Images  ): Kernel Linear->Browsing   | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 132 (Images  ): Kernel Linear->Browsing   | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 133 (Images  ): Kernel Linear->Browsing   | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 134 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 135 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 136 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 137 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 138 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 139 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 140 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 141 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 142 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Browsing  
Obs: 143 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 144 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Browsing  
Obs: 145 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 146 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 147 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 148 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 149 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 150 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 151 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 152 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 153 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 154 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 155 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 156 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 157 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 158 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 159 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 160 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 161 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 162 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 163 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 164 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 165 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 166 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 167 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 168 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 169 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 170 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 171 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 172 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 173 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 174 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 175 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 176 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 177 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 178 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 179 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 180 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 181 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 182 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 183 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 184 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 185 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 186 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Files      | Kernel Poly->Files     
Obs: 187 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Files     
Obs: 188 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Files     
Obs: 189 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Files     
Obs: 190 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Files     
Obs: 191 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Streaming 
Obs: 192 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 193 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 194 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Rat       
Obs: 195 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Rat       
Obs: 196 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Rat       
Obs: 197 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Rat       
Obs: 198 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Rat       
Obs: 199 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Streaming 
Obs: 200 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Streaming 
Obs: 201 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Streaming 
Obs: 202 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Rat       
Obs: 203 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Rat       
Obs: 204 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Rat       
Obs: 205 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Rat       
Obs: 206 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Rat       
Obs: 207 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 208 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 209 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 210 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Files      | Kernel Poly->Files     
Obs: 211 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Files      | Kernel Poly->Files     
Obs: 212 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Files     
Obs: 213 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Files     
Obs: 214 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Files     
Obs: 215 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Streaming 
Obs: 216 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 217 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Browsing   | Kernel Poly->Browsing  
Obs: 218 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Rat       
Obs: 219 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Rat       
Obs: 220 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Rat       
Obs: 221 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Rat       
Obs: 222 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Rat       
Obs: 223 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Streaming 
Obs: 224 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Streaming 
Obs: 225 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Rat        | Kernel Poly->Streaming 
Obs: 226 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Files      | Kernel Poly->Files     
Obs: 227 (Rat     ): Kernel Linear->Rat        | Kernel RBF->Files      | Kernel Poly->Files     

Linear True Positives: 214 | False Positives: 14
Linear Precision: 93.8596

RBF True Positives: 129 | False Positives: 99
RBF Precision: 56.5789

Poly True Positives: 117 | False Positives: 111
Poly Precision: 51.3158
